text,label,source
Gay palembang yg masih diluar gassss dm croot bareng,WASPADA,indodiscourse_real
PENDAKWAH SYIAH DAJJAL LG NAIK DAUN NICH : AWAS BAHAYA LATEN SYIAH,WASPADA,indodiscourse_real
Rudal ayssah 250 dari Brigade Al-Qassam👉 Berhasil mengguncang Kota Tel Aviv ( wilayah zionis Israel ) sebagai respons atas pembantaian yang dilakukan Zionis terhadap warga sipil di Gaza. Palestina,AMAN,indodiscourse_real
#FreePalestine #Gaza_Genocide #IsraeliNewNazis #IsraelISIS Kamera pengintai menunjukkan kerusakan pada rumah sakit Indonesia akibat pemboman Israel di Gaza utara #Gaza_Perang,WASPADA,indodiscourse_real
gila ini di publik aja seru gini kaga kebayang di gc beneran lu isinya apaan,AMAN,indodiscourse_real
"Bismillahirrahmanirrahim.. 🤲 Mari kita simak bersama. Mulai jam 20.00 WIB (GMT+7) nanti, dengan Penerjemah Bahasa Indonesia🇮🇩. Silahkan menyalakan Lonceng Notifikasi di Handphone kita sekarang juga untuk link yang sudah disediakan ini 👇 https://www.youtube.com/live/EBfu_7EJ4mk ----- All International Viewers may WATCH IT LIVE : + via mtaOnline1 channel in YouTube, through one of these tracks: Original Track https://www.youtube.com/live/cu-0mGA8x50 🇧🇩 https://www.youtube.com/live/nVKf-Tfw5LA 🇬🇧 https://www.youtube.com/live/TEGnBvhnCj0 🇩🇪 https://www.youtube.com/live/bnWyPfMHhH4 🇵🇰 https://www.youtube.com/live/3Tr_6CxQhwQ + via MTA International app https://play.google.com/store/apps/details?id=tv.mta.apps.muslimtv https://itunes.apple.com/us/app/mta-international/id942619881 + via MTA International website https://www.mta.tv/live ===== The Summaries & Videos of Huzoor's Friday Sermons are regularly posted and featured in the page Tabligh Islam Ahmadiyah Ahmadiyya .",AMAN,indodiscourse_real
Pendaftaran Gebyar Undian Pesta Poin BNI,AMAN,indodiscourse_real
"Siapkan senjata kalian, kita serbu kedutaan bsk malam. Bawa apa aja yg bisa buat bunuh mereka, parang atau molotov oke. Kita bikin banjir darah di sana sebagai pembalasan nyata!",TINGGI,synthetic_gemini
"Udh saatnya kita habisi smua org kafir d tanah ini, jgn sisain satu pun, bkar aja greja2 mrek skrng jga!!",TINGGI,synthetic_gemini
"Gak usah banyak bacot, mending lgsung eksekusi aja itu pengungsi rohingya. Klo ktemu d jalan lgsung tebas, bakar aja tenda2nya biar mrka mati terpanggang!!",TINGGI,synthetic_gemini
demi Allah zionis israel ini sangat biadab!!,WASPADA,indodiscourse_real
"Siapkan snjata klian, kta akan lakuin jihad d pusat kota mlem ini, bunuh sp pun yg mnghalangi jalan kta Allahu Akbar!!",TINGGI,synthetic_gemini
"gila ya bangtan versi eceran setahun 6x keluarin album yg pake pob weverse kr + wv usa + pvc + ld m2u + sw + pws + jpfc + ums + target + walmart , dan masih banyak lagi, blm yg tour + documentary + fanmeet. gua ga kebayang yg collect ot7 tahun ini ngabisin berapa M 🫠",AMAN,indodiscourse_real
Rindu gila farhana 😭 farhana akak rindu awak 😭😢,AMAN,indodiscourse_real
"Siapkan amaliyah buat gereja2 di akhir tahun, saatnya jihad tegakkan khilafah. Bom bunuh diri adalah jalan pintas ke surga 💣☝️",TINGGI,synthetic_gemini
boikot brand yg pro israel = diet sehat 👍🏻,TINGGI,indodiscourse_real
"Ayo serbuu aja markas k4fir itu, jgn ksh ampun. Pasang bom ditiap sudut biar meledak semua, halal darahnya buat dihabisi!",TINGGI,synthetic_gemini
Wartawan Perempuan Arab Israel Kecam Ter0rls Hamas @YouTube,AMAN,indodiscourse_real
"Mesen online asal mesen, pas diliat dikirim dari china anjg wkwkwkkwkwk",AMAN,indodiscourse_real
"mampus ovt lg, knp si bajingan itu bikin gw hampir gila",WASPADA,indodiscourse_real
kenapa yang kristen menggoda banget ya,AMAN,indodiscourse_real
"Kalau lah semua negara islam dan support islam ni bergabung, mesti akan kalah negara israel laknatulallah",TINGGI,indodiscourse_real
"UTBK SNBT PortalInformasi Informasi Seputar Kampus 10 SMA TERBAIK DI JAKARTA Berdasarkan Nilai UTBK 2022 NAMA SEKOLAH SMAN 8 Jakarta PERINGKAT NASIONAL 2. SMA Labschool Kebayoran 5 SMAS Kanisius Jakarta 6 SMAN 2 Jakarta 7 SMAN ៦8 Jakarta 8 6. SMAN 28 Jakarta 10 7. SMAS 5 Kristen BPK Penabur 16 SMAN 21 Jakarta 17 10. SMAN 61 Jakarta 22 23 @utbk_snbt SMA Terbaik di Jakarta Versi Nilai UTBK 2022.

Sumber : Panitia LTMPT 2022

#smaterbaik #jakarta #infojakarta #utbk",AMAN,indodiscourse_real
"Gw udh dpt almt rmh menteri itu. Bsk kta serbu rame2, bawa bensin sm parang. Habisi dia sampe mampus!",TINGGI,synthetic_gemini
"Israel ini cuma mau banyak2an ngabisin nyawa warga Arabs aja kayaknya😅 Mereka ga punya resources buat nguasai Gaza 100%. Tentara ga cukup, biaya mahal, capek ngurusi militansi tiap hari, dan taxpayers pasti ngomel2. Justru mrk ngarep Palestina diurus tetangga arab lainnya.",TINGGI,indodiscourse_real
"Ini mbaknya keknya udah rada gila gra2 shipper kontol, makanya klakuannya kek gtu😅 maklumin aja guys🤣",WASPADA,indodiscourse_real
"ini org"" pd sakit pd stress tpi maav gue ga reach out i gotta put me first gue juga antara waras dan gila",WASPADA,indodiscourse_real
"Men temen yg udah beli produk2 zionis (non makananinuman), apa ga ada yg mau jual prelove ? Aku mau belo kalo barangnya masi bagus 😂",AMAN,indodiscourse_real
"Sembelih aja smua orng kafir yg brani injak kaki di sini, jngn ksh sisa satu pun.",TINGGI,synthetic_gemini
"Gak usah dikasih ampun itu rohingya, mending kita bakar aja tempat penampungannya mumpung mereka lagi tidur. Biar mampus semua gak usah nyampah di negara kita lagi, tenggelamin aja ke laut.",TINGGI,synthetic_gemini
kenapa ketuhanan dlm intern kristen ribuan tahun selalu bermasalah ?? sebab sumber masalah adalah tuhan berinkarnasi jadi manusia ??,AMAN,indodiscourse_real
“RIBUAN MASYARAKAT SAMBUT ANIES BASWEDAN DAN MUHAIMIN ISKANDAR DI SUMATRA”,AMAN,indodiscourse_real
"Dua anak Palestina, yang sedang bermain skuter, ditembak oleh pasukan Israel di Tepi Barat. #Gaza #GazaGenocide #GazaGenoside",TINGGI,indodiscourse_real
"PREDIKSI CHINA POOLS MINGGU, 05 NOVEMBER 2023 #prediksiskintoto #prediksichina #prediksichinapools #prediksitogelchina #prediksibocoranchina #bocoranchina #bocorantogelchina #chinapools #togelchina #togelchinapools #livedrawchina #livechinapools #datachina #keluaranchina",AMAN,indodiscourse_real
"Kota Eilat, Israel Mendadak Mencekam❗ Dikeroyok Rudal Dari Yaman di Selatan dan Hizbullah di Utara",AMAN,indodiscourse_real
"udh saatnya kita bersihin indo dr pki2 biadab, seret keluar dr rumah trus bakar hidup2 jgn ksh ampun bro 🔥🔥",TINGGI,synthetic_gemini
"DUNIA >BERITA Tak Vu Kuat Dihujat Warganet Indonesia, Tentara Zionis Ancam Lapor Polisi Israel Rabu, 22 November 2023 Oleh Oleh:Ded Dedi 09:09 WIB + VIVA VVAHiliter:.Tentarawanitalsrael Mil Militer Tentara wanita Tentarawanita| Israel Jangan kasih kendor 🤣🤣🤣
kita ancurin ratusan pleton tentara Israel!!!",WASPADA,indodiscourse_real
@jokoanwar Mohon maaf bang @jokoanwar. Saya udah nonton bareng ponakan saya. Ini filmnya kok child LGBTQ+ gini ya? Apakah sekiranya sesuai dengan budaya ketimuran kita?,WASPADA,indodiscourse_real
"Kim Jong-Un dan Xi Jinping Kian Mesra, Korea Utara Ingin Makin Dekat dengan China",AMAN,indodiscourse_real
"Ayok serbu mess aseng itu skrg jg, jgn kasih ampun bakar smua biar tau rasa! PKI harus d basmi sampai akar2nya 🔥🔥",TINGGI,synthetic_gemini
"Kafir2 ini makin melunjak, mending kita habisi aja satu per satu biar gak ada lagi yg berani hina agama kita. Siapkan parang dan bensin, kita ratakan tempat ibadah mereka malam ini.",TINGGI,synthetic_gemini
rusuh bgt lu kaya pengungsi rohingya,WASPADA,indodiscourse_real
#Medan: UDAHLAH BUTA BODOH PULA LAGI KAU @jokowi JAWA BABI KAU INDON ANJING UDAH ITU JOROK LAGI!! INI BOHONG DIKIT AJA KAU LANGSUNG GEMPA!! KALO GAK PERCAYA DAN KEPENGEN TAHU BENAR ATAU ENGGAK YANG AKU BILANG BOLEH KAU PRESIDEN JAWA PAOK KAU ANJING KAU COBA AJA INI HARI!!,WASPADA,indodiscourse_real
"kan saya besar di jakarta , otomatis tau dan ikut budaya chinese di jakarta. Yg mana gak banyak pantangan kayak disini, jgn maksa harus ngikutin budaya anda dong :,) kan saya ga nyaman. Hadeh",AMAN,indodiscourse_real
"______________________________________________________________________
Rumah 3 kamar tidur dan 2 kamar mandi plus kontrakan 1 lantai 1 pintu + rumah 2 lantai 1 pintu

Legalitas SHM Sertifikat Hak Milik
Air lancar, bersih dan tidak bau
Letak strategis
Air jetpump
Free 2 AC
Daya listrik 900 VA
Lingkungan & lokasi bebas banjir

Tidak masuk mobil, bisa menyewa garasi 50 meter dari rumah

Rumah :
Luas bangunan 100 meter persegi
Dapur westafel
Kamar tidur 3
Ruang tamu
Kamar mandi 2

Kontrakan 1 lantai :
Luas bangunan 35 meter persegi
Mini mezzanine
Kamar mandi 1
Meja kompor atau mini dapur

Rumah 2 lantai :
Luas tanah 45 meter persegi
Bangunan dua lantai
Luas bangunan 90
Mini balkon
Kamar mandi 1
Ruang tamu
Kamar tidur 1 bisa jadikan 2

Stasiun Kereta Tanjung Barat atau Pondok Cina
Dekat dari jalan raya atau 120 meter
Halte Transjakarta Fly Over Raya Bogor
Dekat KFC Ciracas atau 300 meter
Terminal Kampung Rambutan
Dekat Mall Graha Cijantung dan GOR Cijantung

Mudah akses transportasi umum, banyak angkot dan jak lingko

Alamat :
Cijantung Pasar Rebo Jakarta Timur

Harga Rp. 950.000.000

Untuk informasi lebih lengkap dan survei lokasi hubungi :
Dini
Chat WA 0858-8176-8442

#jualrumahcijantung #jualrumahdicijantung #rumahdijualcijantung #rumahdijualdicijantung #dijualrumahcijantung #dijualrumahdicijantung #rumahcijantung #residencecijantung #rumahkomplekcijantung #rumahcijantungmurah #clustermurahcijantung #townhousecijantung #rumahcijantungdijual #rumahcijantungjakartatimur #rumahmurahcijantung #jualrumahpasarrebo #rumahdijualpasarrebo #rumahdijualdipasarrebo #dijualrumahpasarrebo #rumahsiaphunicijantung #rumah2lantaicijantung #rumahpasarrebo #rumahminimaliscijantung #rumahbarucijantung #perumahancijantung #clustercijantung #rumahclustercijantung #perumahanmurahcijantung #perumahanpasarrebo ______________________________________________________________________
Rumah 3 kamar tidur dan 2 kamar mandi plus kontrakan 1 lantai 1 pintu + rumah 2 lantai 1 pintu

Legalitas SHM Sertifikat Hak Milik
Air lancar, bersih dan tidak bau
Letak strategis
Air jetpump
Free 2 AC
Daya listrik 900 VA
Lingkungan & lokasi bebas banjir

Tidak masuk mobil, bisa menyewa garasi 50 meter dari rumah

Rumah :
Luas bangunan 100 meter persegi
Dapur westafel
Kamar tidur 3
Ruang tamu
Kamar mandi 2

Kontrakan 1 lantai :
Luas bangunan 35 meter persegi
Mini mezzanine
Kamar mandi 1
Meja kompor atau mini dapur

Rumah 2 lantai :
Luas tanah 45 meter persegi
Bangunan dua lantai
Luas bangunan 90
Mini balkon
Kamar mandi 1
Ruang tamu
Kamar tidur 1 bisa jadikan 2

Stasiun Kereta Tanjung Barat atau Pondok Cina
Dekat dari jalan raya atau 120 meter
Halte Transjakarta Fly Over Raya Bogor
Dekat KFC Ciracas atau 300 meter
Terminal Kampung Rambutan
Dekat Mall Graha Cijantung dan GOR Cijantung

Mudah akses transportasi umum, banyak angkot dan jak lingko

Alamat :
Cijantung Pasar Rebo Jakarta Timur

Harga Rp. 950.000.000

Untuk informasi lebih lengkap dan survei lokasi hubungi :
Dini
Chat WA 0858-8176-8442

#jualrumahcijantung #jualrumahdicijantung #rumahdijualcijantung #rumahdijualdicijantung #dijualrumahcijantung #dijualrumahdicijantung #rumahcijantung #residencecijantung #rumahkomplekcijantung #rumahcijantungmurah #clustermurahcijantung #townhousecijantung #rumahcijantungdijual #rumahcijantungjakartatimur #rumahmurahcijantung #jualrumahpasarrebo #rumahdijualpasarrebo #rumahdijualdipasarrebo #dijualrumahpasarrebo #rumahsiaphunicijantung #rumah2lantaicijantung #rumahpasarrebo #rumahminimaliscijantung #rumahbarucijantung #perumahancijantung #clustercijantung #rumahclustercijantung #perumahanmurahcijantung #perumahanpasarrebo",AMAN,indodiscourse_real
HOTMAN PARIS PIMPIN SELURUH PENGACARA INDONESIA DUKUNG ANIES,AMAN,indodiscourse_real
padahal pas dikata gue makan gaji buta gue gak ngamuk sampe kaya org gila gitu,AMAN,indodiscourse_real
"PELATIHAN BAHASA KOREA PROGRAM GTO KOREA Bekerja Di KOREA HAGWON 오산대 학원 PERSYARATAN 23JUTA 23 GAJI PRIA WANITA (18 38). Ijazah min.SMP/Paket Tidak buta Warna PHOTO 3x4 Lembar Latar Merah. -Surat ijin Orang tua istri, suami. Lama Pelatihan bln 120mnt pertemuan. pilihan onlen class offline class Kuota terbatas informasi +62895326318760 Yayasan",AMAN,indodiscourse_real
"Orang psikopat, gak punya hati nurani, tolol abis adalah ketika mereka milih Israel dibanding Palestina.",WASPADA,indodiscourse_real
Ayo serbu gedung DPR bwa bom molotov kta ratakan mrek smua pngkhianat rkyat!! jgn ksh ampun ksh mati aja mrek,TINGGI,synthetic_gemini
"Target sdh jelas, pasang bom di gedung kedutaan itu skrg jg! Biar mampus smua antek2 asing d dlmnya. Mati syahid adalah tujuan kita!!",TINGGI,synthetic_gemini
"Gais yg masih bingung antara konflik israel dan palestina wajib ikut ini nanti malem! Kenapa sih mereka harus perang? Kenapa sih israel segitunya ngejajah palestina? Ini konflik agama atau apa sih? Biar terjawab, cus langsung daftar ya! Ada bang @edgarhamas yang bakal cerita✨️",AMAN,indodiscourse_real
"Gue udah gak tahan liat kelakuan mereka di sini. Mending kita kumpulin massa, bawa parang, sisir tiap rumah mereka. Habisi semua jgn ada yg hidup biar kapok itu kaum pendatang yg gak tau diri. Darah dibalas darah!",TINGGI,synthetic_gemini
"Gak usah banyak cincong, mending lsg sikat aja itu antek2 zionis di sekitar kita. Bakar rumahnya, habisi keluarganya sampe akar. Jangan sisain satu pun biar punah itu keturunan monyet!",TINGGI,synthetic_gemini
"Selamat pagi, sehat selalu untuk kalian semua, kecuali untuk para zionis Israel dan para pendukungnya yang bangsat 🍉🍉🍉🍉🍉🍉🍉🍉",AMAN,indodiscourse_real
"NAZI Jerman dengan Arian Supremacy, ultranasionalisme, dan membunuh 6 juta Yahudi di Eropa. Zionis Israel dengan Jewish Supremacy, ultranasionalisme, membunuh dan menjajah Palestina sejak 1948 - Sama sama Fasis, bigot, ultranasionalis! Fasis yang baik adalah fasis yang mati!",WASPADA,indodiscourse_real
"Brigade Al-Qassam menghancurkan dua kendaraan Zionis yang menyusup ke wilayah Al-Farahin, sebelah timur Khan Yunis, dengan rudal “Al-Yassin 105”. Mereka menghancurkan tank Zionis yang menembus barat laut Kota Gaza dengan rudal ""Al-Yassin 105"". Jangan lupa selalu berdoa agar para",WASPADA,indodiscourse_real
Salam #SahabatReligi Plt. Dirjen: Kemenag Hadir untuk Umat Katolik Melalui Pesparani Katolik Selengkapnya: #DitjenBimasKatolik #ModerasiBeragama #TahunKerukunanUmat #PesparaniKatolikIII,AMAN,indodiscourse_real
"Israel Luncurkan Serangan Fase Keduanya, Benjamin Netanyahu Bersumpah Menghancurkan Musuh",TINGGI,indodiscourse_real
"Laknatullah Israel, Laknatullah Yahudi 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",WASPADA,indodiscourse_real
"Hayu ahh,,, siapa yg berani gebuk Israel duluan,,, yg Laen pasti",TINGGI,indodiscourse_real
"Bom aj Amrik itu, biar mrek tau rasa, hancurkan smpe rata dngn tanah, ganyang smua sekutu2nya jgn ksh sisa!!",TINGGI,synthetic_gemini
zionist israel ini kudu dibawa ke mahkamah #FreePalestine,WASPADA,indodiscourse_real
Astaghfirullah 😭 kebiadaban zionis israHELL Laknatullah😡 #FreePalestine #StopGenocideInGaza,WASPADA,indodiscourse_real
"Gempur kedubes zionis di sini, jgn cuma teriak2. Serbu n habisi smua stafnya sbg balasan buat sodara kita di gaza. Gas keun jgn kasih kendor!",TINGGI,synthetic_gemini
LIHATLAH BRUTANYA TENTARA ISRAEL KEPADA KORBAN²NYA MEREKA DISIKSA DULU SEBELUM DI.BUNUH,TINGGI,indodiscourse_real
"Ampe botak sariawan n si buta dr gua hantu bs ngeliat n Mak lampir kawin lg, tetap syiah shit ah + sufi itu KAAAFIIIRRR !!!!",WASPADA,indodiscourse_real
"Klrga kerajaan Inggris keliatannya aja santun, humanis, dll. Pdhl mreka pendukung setia Israel secara utuh. Ga usahlah klen tonton Liga Premier itu. Campakkan ajalah itu! 🤣🤣🤣",TINGGI,indodiscourse_real
"Gak cukup cuma boikot, kita butuh aksi nyata. Kirim pasukan jihad, ledakkan kedutaan mereka! Biar tau rasa gmana rasanya rumahnya dibom. Habisi semua tanpa sisa!",TINGGI,synthetic_gemini
"kocak bangett dah idup pak Prabowo, tampang kek orang loyal ke rakyat ternyata pro Israel #Prabowoproisrael",WASPADA,indodiscourse_real
"Result ISRAEL SABTU, 04-11-2023 🔥TARUHANTOTO 🔥 Ketik Di Google: Taruhantoto Daftar: #taruhantoto #slotonline #daftartaruhantoto #bandartogelonline #logintaruhantoto #linkalternatiftaruhantoto #rtptaruhantoto",AMAN,indodiscourse_real
gila gila gilaaaa deep voice low tone apapun itu sumpah #HARUTO aareghhhhhh pengen teriak 😍😍😍😍,AMAN,indodiscourse_real
"WiZ WAHDAH INSPIRASI ZAKAT www.wiz.or.id Satu Tindakan Kecil, Satu Perubahan Besar untuk Palestina yang Kelaparan! Dua bulan lagi kita akan memasuki Bulan Ramadhan, namun saudara-saudara kita di Palestina masih harus merasakan kesulitan mendapatkan makanan, terutama di tengah gempuran penjajah zionis Yahudi. Wiz Bantuan Makanan Untuk Warga Gaza Rekening Sedekah Wahdah Inspirasi Zakat BSI 497 900 900 Bank Muar malat 801 004 8367 Bank Mandiri 174 005 550 0052 Konfirmasi Transfer Sedekah Via WA: 085 315 900 900 SATU TINDAKAN KECIL, SATU PERUBAHAN BESAR UNTUK PALESTINA YANG KELAPARAN!

Dua bulan lagi kita akan memasuki Bulan Ramadhan, namun saudara-saudara kita di Palestina masih harus merasakan kesulitan mendapatkan makanan, terutama di tengah gempuran penjajah zionis Yahudi. Mereka telah berjuang selama tiga bulan terakhir menghadapi keterbatasan bahan pangan.

Mari kita bergandengan tangan untuk memberikan dukungan dan keberkahan kepada saudara-saudara kita di Palestina dengan berdonasi makanan. Setiap sumbangan Anda akan menjadi sinar harapan bagi mereka yang tengah menghadapi tantangan besar.

Mari bersama-sama membuka pintu kebaikan dengan donasi makanan untuk saudara-saudara kita di Palestina. 

Setiap sumbangan Anda memiliki arti besar dan berharga. Kunjungi situs donasi kami sekarang dan berikan bantuan Anda. Bersama kita bisa membawa perubahan positif dalam hidup mereka. Terima kasih atas kebaikan dan kepedulian Anda

Rekening Donasi:
Bank Syariah Indonesia 7801008008
An. Peduli Kemanusiaan Palestina

▶️ Sedekah Online:
https://donasi.wiz.or.id/palestina
https://donasi.wiz.or.id/palestina

▶️ Konfirmasi Donasi: 085315900900

#wahdahinspirasizakat #laznaswiz #berkahzakat #berbagibahagia #berbagiberkahzakat #zakatbahagiakansemua #ramadhanberkah #berkahuntuksemua #pedulisesama #berkahpeduli #islam #berbagiberkahzakat #sedekahonline #wahdahinspirasizakat #donasionline #laznaswiz #muslim #berbagibahagia
4 hari",AMAN,indodiscourse_real
KRISTEN SELALU MENGGEMBOR GEMBORKAN SURGA...!! TAPI SORGA OTEN CUMA ILUSI..,WASPADA,indodiscourse_real
"@aestylla @sebutir_baja @tanyakanrl Iya memang ada oknum seperti itu, makanya pemerintah setempat harus tegas, klo perlu dibina, krna penduduk rohingya minim pendidikan",WASPADA,indodiscourse_real
Tuhan yang memberi Tuhan yang mengambil dan Tuhan yang menerima Terpujilah Nama Tuhan. Hari ini aku resmi sudah meninggalkan pelayanan ku dan aku resmi udah gak mau berhubungan dengan Katolik satu jengkal pun.,WASPADA,indodiscourse_real
Laah elu yang ngedorong ngape loe ikut ngejungkel juga cuuk loba gaya sih🤣🤣🤣 Tentara Israel emang benar2 pecundang besar😂😂😂,WASPADA,indodiscourse_real
"Polisi anj*ng pelayan rezim, mending mati aja lo smua. Kalo ketemu di jalan lgsung aja gorok lehernya, serbu polseknya skalian skrg jg!",TINGGI,synthetic_gemini
Jogja napa ga pernah hujan si panas banget gila 🥵🥵🥵,AMAN,indodiscourse_real
Penjajah israel telah melakukan lebih dari 1.000 serangan di Gaza dengan menggunakan fosfor putih yang dilarang secara internasional #FreePalestine #IsraelTerrorists #Usa_Supports_Israel_Crimes,WASPADA,indodiscourse_real
"@IATeam____ Dlm fiqihnya ¾ menggunakan fiqih hanafi selebihnyasama dg fiqih² lain, mereka dg aswaja tidak banyak bertentangan. Bhkan mu'tazilah gak dikatakan kafir cuma emng banyak salahnya. Sangat berbeda dg kelompok syiah yg suka ngafirkan sahabat nabi dan udh ekstrem.",WASPADA,indodiscourse_real
"GIBRAN PANTAS KITA MEMBERIKAN GELAR ""TUNA ETIKA"" SESUAI INSTRUKSINYA AGAR BERSIKAP KUDA TULI & MATA BUTA KOMEN NYINYIR NETIZEN.",WASPADA,indodiscourse_real
"@PasundanJunior Kedatangan pengungsi Rohingya akan tetap dipertahankan. Namanya juga Menteri Pertahanan, tugasnya ya mempertahankan 🙈😤🤭",WASPADA,indodiscourse_real
"Netanyahu: Jika Israel Kalah, AS dan Eropa Jadi Sasaran Berikutnya",AMAN,indodiscourse_real
Ayo Israel gaskan Hamas tu jngn kash ampuni😡😡,TINGGI,indodiscourse_real
"Live bombardir Gaza oleh zionis yahudi, tanpa perlawanan, zalimnya",AMAN,indodiscourse_real
"Pada ""zero hour,"" dikabarkan Israel akan memulai perang darat di Jalur Gaza, jika solusi diplomatik untuk membebaskan sandera yang ditahan Hamas gagal.

Baca lebih banyak di:  

(klik link di Story) Pada ""zero hour,"" dikabarkan Israel akan memulai perang darat di Jalur Gaza, jika solusi diplomatik untuk membebaskan sandera yang ditahan Hamas gagal.

Baca lebih banyak di:  

(klik link di Story)",AMAN,indodiscourse_real
Hamas tidak menargetkan warga sipil.. tetapi yahudi Israel jelas2 menargetkan warga sipil.. mana ham mana pbb.. hello yahudi pesek,WASPADA,indodiscourse_real
"Cari org2 ahmadiyah, seret kluar rmh trus kta bantai rame2 biar mampus smua aliran sesat itu!!",TINGGI,synthetic_gemini
@visegrad24 hanya manusia bodoh percaya propaganda israel terrorist . warga sipil di tangkap lalu di beritakan seolah Hamas.,WASPADA,indodiscourse_real
Ganjar menyerap aspirasi para ulama saat menghadiri acara Silaturahmi Masyayikh se-Indonesia. Abu Janda Hujan Gibran Gaza Iran 10 Oktober Israel Yahudi Icha,AMAN,indodiscourse_real
"Viral Orang Garut Maki-maki PM Israel Benjamin Netanyahu Via DM Instagram, Ancam Kirim Pemudah Kadungora ke Palestina",TINGGI,indodiscourse_real
"Di Indonesia banyak yang msh rasis & sentimen kepada etnis Tionghoa akibat minimnya literasi sejarah, tidak tahu banyak pahlawan pejuang kemerdekaan dari etnis Tionghoa yang rela berkorban nyawa bagi NKRI 🇲🇨",AMAN,indodiscourse_real
Baru jumpa yg beginian ; SATU KELUARGA GILA KEKUASAAN. sedih bangasaku,WASPADA,indodiscourse_real
"Ini tuh bulan bahagia Jimin dan fans2nya tpi gra2 satu orang gila ini smuanya jdi kacau, bner2 yah tks perlu bnget di musnahin klakuannya ke anjing semua, hobi bnget cari validasi, ngga ada yg peduli jg lo tks atau bkan setan",WASPADA,indodiscourse_real
